1, 1 0.5 2 0.5 3 0.5 4 0.5 5 0.5 6 0.5 7 0.5 8 0.5 9 0.5 10 0.5 11 0.5 12 0.5 13 0.5 14 0.5 15 0.5 16 0.5 17 0.5 18 0.5 19 0.5 20 0.5 21 0.5 22 0.5 23 0.5 24 0.5 25 0.5;
2, 1 0.5 2 0.5 3 0.5 4 0.5 5 0.5 6 0.5 7 0.5 8 0.5 9 0.5 10 0.5 11 0.5 12 0.5 13 0.5 14 0.333333 15 0.333333 16 0.333333 17 0.333333 18 0.333333 19 0.333333 20 0.333333 21 0.333333 22 0.333333 23 0.333333 24 0.333333 25 0.333333;
3, 1 0.5 2 0.5 3 0.5 4 0.5 5 0.5 6 0.5 7 0.5 8 0.5 9 0.5 10 0.333333 11 0.333333 12 0.333333 13 0.333333 14 0.333333 15 0.333333 16 0.333333 17 0.333333 18 0.25 19 0.25 20 0.25 21 0.25 22 0.25 23 0.25 24 0.25 25 0.25;
4, 1 0.5 2 0.5 3 0.5 4 0.5 5 0.5 6 0.5 7 0.5 8 0.333333 9 0.333333 10 0.333333 11 0.333333 12 0.333333 13 0.333333 14 0.25 15 0.25 16 0.25 17 0.25 18 0.25 19 0.25 20 0.2 21 0.2 22 0.2 23 0.2 24 0.2 25 0.2;
5, 1 0.5 2 0.5 3 0.5 4 0.5 5 0.5 6 0.333333 7 0.333333 8 0.333333 9 0.333333 10 0.333333 11 0.25 12 0.25 13 0.25 14 0.25 15 0.25 16 0.2 17 0.2 18 0.2 19 0.2 20 0.2 21 0.166667 22 0.166667 23 0.166667 24 0.166667 25 0.166667;
6, 1 0.5 2 0.5 3 0.5 4 0.5 5 0.5 6 0.333333 7 0.333333 8 0.333333 9 0.333333 10 0.25 11 0.25 12 0.25 13 0.25 14 0.2 15 0.2 16 0.2 17 0.2 18 0.166667 19 0.166667 20 0.166667 21 0.166667 22 0.142857 23 0.142857 24 0.142857 25 0.142857;
7, 1 0.5 2 0.5 3 0.5 4 0.5 5 0.333333 6 0.333333 7 0.333333 8 0.333333 9 0.25 10 0.25 11 0.25 12 0.2 13 0.2 14 0.2 15 0.2 16 0.166667 17 0.166667 18 0.166667 19 0.142857 20 0.142857 21 0.142857 22 0.142857 23 0.125 24 0.125 25 0.125;
8, 1 0.5 2 0.5 3 0.5 4 0.5 5 0.333333 6 0.333333 7 0.333333 8 0.25 9 0.25 10 0.25 11 0.2 12 0.2 13 0.2 14 0.166667 15 0.166667 16 0.166667 17 0.142857 18 0.142857 19 0.142857 20 0.125 21 0.125 22 0.125 23 0.111111 24 0.111111 25 0.111111;
9, 1 0.5 2 0.5 3 0.5 4 0.333333 5 0.333333 6 0.333333 7 0.25 8 0.25 9 0.25 10 0.2 11 0.2 12 0.2 13 0.166667 14 0.166667 15 0.142857 16 0.142857 17 0.142857 18 0.125 19 0.125 20 0.125 21 0.111111 22 0.111111 23 0.111111 24 0.1 25 0.1;
10, 1 0.5 2 0.5 3 0.5 4 0.333333 5 0.333333 6 0.25 7 0.25 8 0.25 9 0.2 10 0.2 11 0.166667 12 0.166667 13 0.166667 14 0.142857 15 0.142857 16 0.125 17 0.125 18 0.125 19 0.111111 20 0.111111 21 0.1 22 0.1 23 0.1 24 0.090909 25 0.090909;
